company,sector,stage,location,founded_year
HouseEazy,Real Estate / PropTech,Series A,Mumbai,2023
Navana AI,Voice AI / Enterprise,Seed,Bengaluru,2024
Bizup,Fashion / B2B Marketplace,Seed,Bengaluru,2024
Cautio,AI Dashcam / Fleet Tech,Seed,Bengaluru,2024
Namma Yatri,Mobility / Consumer Tech,Seed,Bengaluru,2025
Inamo,Fintech,Series A,Mumbai,2026
HireBound,HR Tech / Recruiting,Seed,Gurgaon,2026
Pascal AI Labs,Artificial Intelligence,Seed,Bengaluru,2025
Navo,Consumer Tech,Seed,Haryana,2025
Redacto,AI / Document Automation,Seed,Bengaluru,2024
Green Aero,Deep Tech / Drones,Seed,India,2024
Zolve,Fintech,Series B,Bengaluru,2021
Jupiter Money,Fintech,Series C,Mumbai,2019
Slice,Fintech,Series D,Bengaluru,2016
Rocketium,Marketing Tech / SaaS,Series A,Bengaluru,2016
Springworks,HR Tech / SaaS,Series A,Meghalaya,2015
Zomentum,SaaS / Sales Tech,Series B,Bengaluru,2019
Khatabook,Fintech / SMB SaaS,Series C,Bengaluru,2018
Wint Wealth,Fintech,Series A,Bengaluru,2020
Nudge,B2C AI / Money Coach,Seed,Mumbai,2023
